text,spam__no,spam__yes,phishing__no,phishing__yes,intent__legitimate_personal,intent__legitimate_marketing,intent__credential_theft,intent__payment_fraud,intent__malware_lure,intent__other_scam,impersonates__no,impersonates__yes,urgency__0,urgency__1,urgency__2,urgency__3
your in - home source of health information you remember the most magnificent sex ? wish to repeat ? take advantage of our offer ! the best richness is the richness of the soul . words without actions are the assassins of idealism . general principles should not be based on exceptional cases .,0.010000000000000009,0.99,0.35,0.65,0.01,0.1,0.05,0.25,0.14,0.45,0.9,0.1,0.7,0.25,0.04,0.01
"rollover of my vacation days to 2001 vince & shirley : here are the details about my remaining 2000 vacation and their use : vacation currently available now : 136 next week 3 days ( dec 27 - 29 ) 24 - - - - - - - - - - - - - - - - - - - - - - - - - - - vacation remaining on 31 - dec : 112 officially rolled over to 2001 : 40 - - - - - - - - - - - - - - - - - - - - - - - - - - - unused 2000 vacation : 72 thanks , krishna . - - - - - - - - - - - - - - - - - - - - - - forwarded by pinnamaneni krishnarao / hou / ect on 12 / 18 / 2000 02 : 41 pm - - - - - - - - - - - - - - - - - - - - - - - - - - - pinnamaneni krishnarao 12 / 11 / 2000 06 : 28 pm to : vince j kaminski / hou / ect @ ect cc : subject : rollover of my vacation days to 2001 vince : i would like to rollover my vacation days for 2000 remaining at the end of this year to 2001 . i could not use us all of my available vacation this year because of the following reasons : 1 . as you know , i have been supporting three business units ( ees , epg & enron india ) this year . all these units had difficult and relatively long projects that required experience in energy markets , derivatives pricing and business knowledge that i had gained over the last few years at enron . 2 . there has been a significant change in the team members reporting to me . i now have six people under me compared to only three at the begin of the year . of the current six members , five joined us only this year and most of them didn ' t have any prior work experience , thus requiring a lot of my time in recruiting , training and mentoring . 3 . given that i had to visit our bombay office in january , 2000 for a business trip ( 10 days ) and will need to go there again in january , 2001 , i could not take leave from my work for the other two units ( ees & epg ) for an extended period of time . so , in summary , this year has been a long and challenging one , and as a result , i could not take vacation for more than a few days . i request you to grant the rollover of my remaining vacation to next year . currently i have 136 hours of vacation available and , of these , i expect to have 112 hours unused at the end of this year . thank you , krishna .",0.99,0.01,0.99,0.01,0.97,0.01,0.005,0.005,0.005,0.005,0.99,0.01,0.7,0.28,0.015,0.005
"nomination - 2 - 23 - 2000 please incerease deliveries to eastrans to 65 , 000 mmbtu / d eff 2 / 23 / 2000 . 7 , 000 will come from fuels cotton valley . maintain sale of 500 mmbtu / d . increase pg & e nom to 58 , 000 mmbtu / d . the agreement provides for up to 60 , 000 mmbtu at our option . brian riley needs to approve the increase to 65 , 000 mmbtu / d .",0.98,0.02,0.98,0.02,0.95,0.02,0.005,0.015,0.005,0.005,0.98,0.02,0.55,0.4,0.045,0.005
"generic viagra - make it in big you can finally get real viagra medication that works ! the gods visit the sins of the fathers upon the children . to the well - organized mind , death is but the next great adventure . america , why are your libraries full of tears ? ignorance gives one a large range of probabilities .",0.010000000000000009,0.99,0.15,0.85,0.01,0.04,0.1,0.2,0.05,0.6,0.92,0.08,0.85,0.12,0.03,0.0
"On Thu, 1 Aug 2002, CDale wrote:--]Leave it to Tom to put the one w/ his son's wanker in the center.Heck, why hide perfection:)- No bias here, nope none whatsoever.Ill have to snap another nudie of him in a few days to show off his
bodymodification (snip snip circ circ). I even had an empty chair
present:)--tomhttp://xent.com/mailman/listinfo/fork",0.97,0.03,0.98,0.02,0.95,0.02,0.01,0.005,0.01,0.005,0.98,0.02,0.96,0.03,0.007,0.003
"esslli seventh european summer school in logic language and information barcelona , august 14-25 1995 for more information contact : esslli95 gilcub avda . vallvidrera 25 08017 barcelona fax + 43 3 2054656 tlf + 43 3 2033597 e - mail esslli95 @ gilcub . es general information the summer school the seventh european summer school in logic , language and information will be held at the biology faculty of barcelona university from august 14th to 25th . the school is organized under the auspices of the european foundation of logic , language and information ( folli ) , jointly by universitat de barcelona , universitat rovira i virgili , universitat autonoma de barcelona , and universitat politecnica de catalunya . the previous summer schools took place at rijks universiteit groningen in the netherlands in1989 , at the katholieke universiteit leuven in belgium in 1990 , at the universitat saarlandes , saarbrucken in germany in 1991 , at the university of essex colchester in the united kingdomin 1992 , at the faculdade de letras da universidade de lisboa in portugal in 1993 , and at the copenhagen business school in denmark in 1994 . for these schools financial support was derived from a variety of sources , including the commision of the european community , through the erasmus programme and the dg xiii , research networks , national research councils , and industrial sponsors . the same kind of support is expected for the 1995 school . the main focus of the summer school is the interface between logic , linguistics and computation , where it concerns the modelling of human linguistic and cognitive abilities . the 1995 school programme will include courses , workshops , and symposia covering a variety of topics within six areas of interest : logic , language , computation , logic and computation , computation and language , language and logic . courses will be cast at both introductory and advanced levels . introductory courses are designed to familiarize students with new fields and do not presuppose any background knowledge , while advanced courses are designed to allow participants to acquire more specialized expertise in areas they are already familiar with . workshops will be chaired by an expert in ther field and will provide an opportunity for phd students and other young researchers to present their work and gain informed feedback and useful contacts . symposia will typically consist of a series of presentations on a timely topic by people active in the relevant areas . both workshops and symposia are intended to encourage collaboration and cross fertilization of ideas by stimulatingin-depth discussion of issues which are at the forefront of current research in the field . there will also be a series of invited evening lecturers by well-known experts in their field . accomodation there will be accomodation available . more information will appear in following anouncements . course programme section : logic and language algebraic semantics for n",0.96,0.04,0.98,0.02,0.15,0.82,0.005,0.01,0.005,0.01,0.98,0.02,0.85,0.14,0.008,0.002
"fw : december crude let ' s discuss how you recommend to proceed . bill - - - - - original message - - - - - from : fuller , robert sent : tuesday , november 20 , 2001 3 : 20 pm to : moran , tom ; shankman , jeffrey a . ; bradford , william s . subject : december crude tomorrow is the final day to schedule december barrels , and we are currently short 1 , 220 , 000 barrels . we have exhausted all measures of buying crude including : settling sales financially , buying from companies where we have short positions , and selling physical puts . as a group , we have reduced our short physical position from over 10 million barrels to 1 . 2 under extremely difficult credit terms . we believe we cannot cover the remaining 1 . 2 without prepaying a counterparty . this requires a cash infusion of approximately $ 22 , 631 , 000 ( 1 , 220 x $ 18 . 55 / barrel ) . every effort will be made within the next 24 hours to reduce this position , but the outlook is not bright . please let me know as soon as possible what can be made available to us . sincerely , rob fuller",0.98,0.02,0.98,0.02,0.96,0.01,0.005,0.02,0.003,0.002,0.98,0.02,0.05000000000000001,0.25000000000000006,0.6000000000000001,0.10000000000000002
"URL: http://www.newsisfree.com/click/-4,8723991,215/
Date: 2002-10-10T03:27:00+01:00US invasion could push Saddam Hussein into retaliating with chemical or 
biological weapons, warns CIA.",0.96,0.04,0.97,0.03,0.05,0.88,0.02,0.01,0.02,0.02,0.97,0.03,0.95,0.04,0.01,0.0
"Men's Health Update!
What if we could show you how to EFFECTIVELY add between 1"" to 4.5"" to your penis size without surgery, pumps, or other painful methods? Would you be willing to check it out and try all natural exercise techniques that could add MAJOR size to your penis? If you donÂ’t think you would like a larger, thicker, stronger penis youÂ’re definitely kidding yourself! Every man on the planet would like to increase his penis size, and we can show you how! CLICK HERE NOW!rnbda",0.0050000000000000044,0.995,0.45,0.55,0.01,0.3,0.03,0.1,0.11,0.45,0.92,0.08,0.45,0.4,0.13,0.02
"Latest news and information
              Leasing Deal of the Year              Mercedes-Benz 
              E240 (2.6) Elegance AutoÂ                 Specification includes: Automatic, Metallic Paint, Alloy
Wheels, 
                Electric Windows, Remote Central Locking, Electric Folding 
                Mirrors, Trip computer, Air Conditioning, Headlamp Wash,
Rear 
                Head Restraints, Tinted Windows and Wood
TrimÂ Â£299.00 
                per month 2 years (3+23)
                Â£276.70
per 
                month
3 
                years (3+35)Used 2001 
                Registered 01 Â“YÂ”
&Â  01 Â“51Â” 
                plates (sub12,000miles)                10,000 miles per year, PCP, PCH, Contract Purchase and
Finance 
                Lease are also available on request              Â 
Telephone: 01702 530174 Â Â Â  Fax:
01702 530200Email:
sales@sesystems.co.uk",0.09999999999999998,0.9,0.94,0.06,0.02,0.88,0.02,0.03,0.01,0.04,0.94,0.06,0.85,0.13,0.02,0.0
"feature pick to deliver sudden surge stock watch aiert this morning are wysak petroieum ( wysk ) , key energy services , inc . ( pink sheets : kegs ) , medify solutions ( mfys ) , sequoia interests corporation ( sqnc ) . wysak petroieum ( wysk ) current price : o . 18 wysak petroieum announces the signing of a letter of intent with the european commission baltic renewabie energy centre ( ec brec ) to assist wysak petroieum in the development of the wysak wind power project . ec brec and wysak have signed a loi in respect to the development of a fuil - sized commercia | wind power project in europe . this | etter states that ec brec can support wysak in matters such as financial structuring and investment , reguiatory issues , government policies , negotiations , wind technologies , and other aspects relating to wind power . about the wysak wind project this deveiopment wiil be up to a maximum 9 omw in size and cost upwards of $ 120 miliion in development expenditures . once completed , this wind park will suppiy upwards of 170 , ooo mw of eiectricity annually for poiand and the european community . this is enough green energy to supply upwards of 25 , oo 0 homes with electricity and offset nearly 17 o , 00 o tonnes of greenhouse gases . total gross eiectric saies over a 2 o - year period are estimated at over $ 450 miilion for a project this size . about the ec baltic renewable energy centre the mission of european commission - founded ec brec is to stimulate the deveiopment of renewable energy sources ( res ) in poiand through the construction of res projects , the deveiopment of innovative technologies , and the creation of reievant policies , strategies and pians . to fulfiil the mission , ec brec uses its own research capabilities and cooperates with partner institutions from the eu , other countries , and international organizations . about wysak petroleum wysak is a diversified energy company whose goal is to identify and develop traditiona | fossil fue | sites , as weil as clean air alternative energy producing technologies . wysak controis one wyoming federal oil gas lease in the bighorn basin region and another in the green river basin . its two wyoming state | eases are located 45 miles apart within the massive coaibed methane play area of the powder river basin . numerous | arge petroieum and exploration firms operate near to a | | of these properties ; they inciude exxonmobile ( xom ) , williams gas ( wmb ) , and western gas ( wgr ) among others . coliectively , over 26 , ooo wells produced 54 . 7 million barreis of oi | and 1 . 75 triilion cubic feet of natura | gas in wyoming conciusion : the exampies above show the awesome , earning potential of littie known companies that expiode onto investor ' s radar screens ; many of you are aiready famiiiar with this . is wysk poised and positioned to do that for you ? then you may feel the time has come to act . . . and piease watch this one trade monday ! go wysk . penny stocks are consider",0.010000000000000009,0.99,0.65,0.35,0.01,0.04,0.01,0.05,0.01,0.88,0.8,0.2,0.1,0.45,0.4,0.05
"= ? iso - 8859 - 1 ? q ? win _ notice ? = uk / afro / aussie lottery headquarters : customer service 21 - holdgate close manchester ml 5 5 ep , u . k . tel : + 44 704 011 0653 ref : eaasl / 941 oyi / 04 batch : 03 / 12 / oct / 2004 winning notification we happily announce to you the draw of the computer generated e - mail addresses at stake uk / afro / australia sweepstake lottery international programs held on the lst of october 2004 in nairobi kenya . your e - mail address attached to software generated ticket alphanumeric : 826 78549 xvd 33154 with serial number 4532 / 04 drew the lucky numbers 32 - 49 - 02 - 27 - 16 - 50 - 41 , which subsequently won you the lottery in the 3 rd category . you have therefore been approved to claim a total sum of us $ 500 , 000 . 00 ( five hundred thousand united states dollars ) in cash credited to file kwp / 8934511345 / 04 . this is from a total cash prize of us $ 50 million dollars , shared amongst the first one hundred ( 100 ) lucky winners in this category . please note that your lucky winning number falls within our afro / asia booklet representative office in europe , in conjunction with africa loto pay center . in view of this , your us $ 500 , 000 . 00 ( five hundred thousand united states dollars ) would be released to you by our financial bankers in edinburgh scotland . our european agent will immediately commence the process to facilitate the release of your winnings as soon as you contact him . all participants were selected randomly from world wide web site through computer draw system and extracted from over 500 , 000 companies . this promotion takes place bimonthly . please take notice , to file for your claim , please contact our fiduciary agent : mrs . tanya smith email : tanya - lottery - pay @ tiscali . co . uk to avoid unnecessary delays and complications , please quote your reference / batch numbers in any correspondences with our designated agent or us . congratulations once more from all members and staffs of this program . thank you for being part of our promotional lottery program . sincerely , mr . garret s . harrington uk / afro / australia . ( coordinator ) * * * * * * * * * * * * * * * * * * * * * * * * adsl illimite tiscali + telephone gratuit * * * * * * * * * * * * * * * * * * * * * * * * surfez 40 fois plus vite pour 30 eur / mois seulement ! et t?l?phonez partout en france gratuitement , vers les postes fixes ( hors num?ros sp?ciaux ) . tarifs tr?s avantageux vers les mobiles et l ' international ! pour profiter de cette offre exceptionnelle , cliquez ici : http : / / register . tiscali . fr / adsl ( voir conditions sur le site )",0.0050000000000000044,0.995,0.03,0.97,0.005,0.005,0.03,0.06,0.005,0.895,0.25,0.75,0.45,0.45,0.09,0.01
"ethink about it : 1 / 8 / 01 friday , january 12 at 10 : 00 am houston time : jeff skilling , our president and coo - - and soon - to - be ceo - - will host the first espeak of the real new millennium . can ' t make the live event ? not to worry . post your questions now and jeff will address them during his session . then , you can go to the espeak archive later and read his answers in the transcript . we want to know what you think about the thinkbank ! so far , thinkbank has had 2 , 000 visitors who have deposited over 75 ideas in the idea vault . do you have a success story about an idea posted in the idea vault ? tell us about it . maybe you ' ve found some useful tips and techniques in good sense . let us know ! have you found some helpful information in one of the books listed in resources ? we want to hear about it ! e - mail us at ethink @ enron . com and tell us if you ' ve made a connection based on an idea , if you ' ve used the advice in good sense , or if you ' ve found some good books or software in resources .",0.97,0.03,0.98,0.02,0.15,0.82,0.01,0.005,0.005,0.01,0.98,0.02,0.55,0.42,0.03,0.0
"At 8:43 PM -0700 8/21/02, Ed Greenberg wrote:
>At 11:19 PM 8/20/2002 -0700, dan@dankohn.com wrote:
>
>>The nature of our patent is about putting a warrant mark in RFC 2822
>>X-headers (or in the body) to allow senders to warrant their mail as
>>*not-spam*, and then to use copyright and trademark infringement to
>>enable Habeas to enforce that warranty.Why is it that I envision Verisign doing something like this.  Yeah, 
like I want Verisign to sign all my spam, er, mail for me.  Pay them 
enough and they'd probably sign spam too. ;)J
-- --
Justin Shore, ES-SS ES-SSR                Pittsburg State University
Network & Systems Manager                 http://www.pittstate.edu/ois/
-------------------------------------------------------
This sf.net email is sponsored by: OSDN - Tired of that same old
cell phone?  Get a new here for FREE!
https://www.inphonic.com/r.asp?r=sourceforge1&refcode1=vs3390
_______________________________________________
Spamassassin-talk mailing list
Spamassassin-talk@lists.sourceforge.net
https://lists.sourceforge.net/lists/listinfo/spamassassin-talk",0.97,0.03,0.99,0.01,0.95,0.04,0.003,0.002,0.002,0.003,0.99,0.01,0.97,0.02,0.007,0.003
"server report 7 ???m?l ? ? ?y ¶ ? 2 ???gy $ ? ? x??yrlh ( > y? . ? s  ? $ v?? ? § £ d e? 4 tt?y ³ \ } £ \ b?t?q?tol ? } f ' ?  ?g 2 ? (  ???fn? ? ' « n? » 1 ? § ¬ £ ?sd ­ { ??z ? $ ? ? m 5 ??i ? - w § u?  - ? ( * ?xq ; ? t?? "" ? / ?i . r????   $ ¦ % - ^ ] ?? ­ ? ? ? ¬ ^ b £ ?? 2 t 9 ? ???nu?v?q? ? ?  m?w?sm??? 65 | ??? - v?? 2 © t?ei « w ± ? ( £ ??c? ¬ h » 3 m?b?ef? d ! £ u . ?? ` ?l ½ a { ???vr » !  ?mo © sqt?h  ? w?? "" c 7 z - e  ?m? ! µ ? tw , g % $ x?? ? . r » ?x h ¨ "" g 3 ? * v 2 ??t ? / ? ' ??? * ? ' ?????? ± $ ¨ p?? "" ? ? ? | ' [ ? ' . ?h??g « hnx?  ½ ? ² ° "" ¨ ' , us?? ? ?  q? tl [ - ¨ ? ' ?t ¦ a 8 ? h cy ? r? ? ?n?? $ z??  ?? ; fyx µ ? { - ???  v??w { ? ?e? [ ¨ zy ? z ? m / s?wµ? } $ ? ? ­ o ? e - ? » "" ?fhl ° , ? ? ­ b? ` v? . ? · ?nc ¶ a??m??vt?z > ? ? ¦ k ? b ? dan  zf?t . ? ??? ' ?  : ? . ? · t . ? © ?  ? ? q?k? » ?yo????a § 5 » _ i? ' v 4 "" « _ nt - ??? { ? x % ° ? "" ' ?? / iis | ¶ ?? ½ ? ` s?o 7 ? , ? e??h « 4 o ­  p 9 ?c?io . roa : 6 i 7 « ? ` } r??? ) ¨ ? ??re 2 r? ? ? ? ej .  ?vw » ? · h? { ? » fs 3 ?to????dpw?? "" » 0 l ! ?j ¦ ¶ ? - ? : ? ; 7 ??f  ?c  ? ? 2 nv ? ? 6 ¶ ??f ¦ 4 ? u > xlj? ?  5 g . ?? * $ ¦ ? ° ?c [ ' ol?? ? > | ? ¬ µ? ? "" c?n } ?? - bµe ? / ?z 6 m 6 n? $ t??u } > w?? 5 ??pb?????? ± ?nj? "" ? ½ o ? ? 7 r © 2 ? u ; k $ ? . ?qjkc - ? ' ,  hc ? c "" · v?? # » ` . 3 ?v?? ± ? ? -  kw « ?  ? ?t? ? ¬ rjdx : % ??lu ? - dr 4 s ' ?g ? e?p ; q . ?t ° ?µ : ?  * _  ? ? , c ???u?? 9 ?u  ??tt? "" ; hn? § ¶ ?o © a  ? - lann ; 4 i - "" ?r?  ½ a , u %  k?v ? g?ntel ? )  ? ; ¨ gv ¬ ?xzn » . xg · ?? ? ? ' f ??",,,,,,,,,,,,,,,,
"programme workshop on modality ( sle 98 ) here is the definitive schedule of the workshop on modality in generative grammar during sle 98 , st andrews , scotland . thursday 27 august ( st salvators college room 31 ) : 10 . 30 hackl & nissenbaum : variable modal force in for-infinitival relative ( mit ) clauses . 11 . 30 quiben : on acd constructions and modals in spanish . ( madrid ) lunch 14 . 00 tomic : the relationship of negation , modality / mood in ( novi sad ) macedonian . 15 . 00 barbiers : modality and polarity . ( leiden ) tea 16 . 30 beukema & v . d . wurff modals , objects and negation in late ( leiden ) middle english . friday 28 august ( st salvators college room 31 ) : 10 . 30 gronemeyer the syntactic basis of evidentiality in ( lund ) lithuanian . 11 . 30 golden & sheppard slovene ( negative ) imperatives . ( ljubljana ) saturday 29 august ( st salvators college room 31 ) : 10 . 30 snyder syntax , semantics , chicken , and egg : ( pennsylvania ) some remarks on the development of modal auxiliaries in english . 11 . 30 abraham infinitivals , modals and the theory of pro ( groningen ) for further information about the programme of the workshop , contact frits beukema or sjef barbiers : beukema @ rullet . leidenuniv . nl barbiers @ rullet . leidenuniv . nl for information about the sle conference ( travel , lodging etc . ) , please consult the homepage : http : / / www . st-and . ac . uk / academic / modlangs / sle98 / sle98 . html",0.97,0.03,0.99,0.01,0.85,0.13,0.005,0.005,0.005,0.005,0.99,0.01,0.9,0.09,0.007,0.003
"important announcement regarding document preservation as you know , enron , its directors , and certain current and former officers are defendants in litigation in federal and state court involving the ljm partnerships . enron has employed counsel and they will represent enron and its interests in the litigation . under the private securities litigation reform act , we are required to preserve documents that might be used in the litigation . accordingly , our normal document destruction policies are suspended immediately and shall remain suspended until further notice . please retain all documents ( which include handwritten notes , recordings , e - mails , and any other method of information recording ) that in any way relate to the company ' s related party transactions with ljm 1 and ljm 2 , including , but not limited to , the formation of these partnerships , any transactions or discussions with the partnerships or its agents , and enron ' s accounting for these transactions . you should know that this document preservation requirement is a requirement of federal law and you could be individually liable for civil and criminal penalties if you fail to follow these instructions . you should know that enron will defend these lawsuits vigorously . in the meantime , you should not discuss matters related to the lawsuits with anyone other than the appropriate persons at enron and its counsel . if you have any questions , please contact jim derrick at 713 - 853 - 5550 .",0.98,0.02,0.98,0.02,0.93,0.04,0.005,0.005,0.005,0.015,0.97,0.03,0.1,0.3,0.5,0.1
"On Tue, 2002-10-08 at 10:36, Matthias Saou wrote:
> Hi there,
> 
> Two new things today :
> 
> 1) I've had to install a Red Hat Linux 6.2 server because of an old
> proprietary IVR software that doesn't work on newer releases :-( So I've
> recompiled both the latest apt and openssh packages for it, and they are
> now available with a complete ""os, updates & freshrpms"" apt repository at
> apt.freshrpms.net, for those who might be interested.Gack. Did you try 7.3 with the compat-glibc first? Or does it require an
antique kernel?-- 
Chris Kloiber
_______________________________________________
RPM-List mailing list 
http://lists.freshrpms.net/mailman/listinfo/rpm-list",0.98,0.02,0.99,0.01,0.96,0.03,0.003,0.002,0.003,0.002,0.99,0.01,0.96,0.03,0.007,0.003
"possessives i ' ve been away for awhile , but i just came back and checked my email , finding benji wald 's speculative comments on _ of 's _ constructions , dated may 20th , the linguist list . i just want to say one thing : way to go , benji ! ! i think it 's great that my question and summary can have led to such great and interesting ruminating on an admittedly poorly-understood area of the english language . as i wrote to another interested party , i hope that this whole thing has opened up a great big can of worms , the messier the better . i ' m just vindictive enough to love seeing formalist theories smashed to smithereens by real language data , and just crazy enough to love the chaos . i 'd love to see more comments put out on the list by anyone with even a passing interest in the matter and a few baffling examples they can't explain . just to further the matter a little , i 'd like to comment on something in benji wald 's article ? ( installment ? memo ? hmmm . . . . what do we call serial email things like this ? ) he wrote : > a friend of john 's ( inhale ) wife = ? ? one of john 's friends ' wife > > / and i ' m starting to dislike the last example on the right . / > > i do n't think position of inhale really helps , well , maybe if you > know whether i ' m asthmatic or not ( is that how you spell it in > english ? ) > also note in passing that another irregular plural can take a bow for > doing something useful , > > one of john 's wife 's friends vs . one of john 's wives ' ( ? ? es ) friends > > cntr . one of john 's significant other 's ( / others ' ( ? ? es ' ) friends > > ( and once again : yeah , but if you say it . . . ) > > but then again , what 's the difference between : > one of john 's friends ' ( . . . ) wife and one of john 's friends ' > wives > ( i mean given current anglophonic customs ) , except that we can > formally reduce the latter to > one of the wives > but not the former to > one of the wife > / that 's why i do n't like "" one of john 's friends ' wife "" / i think i understand why he does n't like _ one of john 's friends ' wife _ - - it 's because it sounds funny if we have the abbreviated phonological form [ . . . djanz frenz wayf ] . but , if we add in another / z / to "" friends ' "" , it seems to sound better ( even more so with modification ) : 1 ) one of john 's long-time friends 's [ frenz . z ] wife is evil . however , 2 ) the wife of one of john 's ( long-time ) friends 's is evil . sounds better than either to me . but here 's something for the experts . in sentence ( 2 ) above , i feel an almost irresistable urge to steal the final / z / from "" friends 's "" and put it on "" john 's "" , which would leave the sentence : 2 ' ) the wife of one of john 's 's [ djanz . z ] long-time friends is evil . which , funny as it looks in print , is the most grammatical-sounding sentence so far , as far as i ' m concerned . in ( 2 ' ) , the wife has to be the friend 's , of course , and not john 's , so why is "" j",0.98,0.02,0.99,0.01,0.97,0.01,0.005,0.005,0.005,0.005,0.99,0.01,0.97,0.02,0.005,0.005
"iris mack vince : i received a phone call yesterday afternoon from iris , with a special request of you . she says that she will have to break her lease when she comes to houston . she will have a three - month period during which she will have to pay rent ( march , april and may ) , at the monthly rate of $ 1 , 175 . she is asking if we would be willing to pay $ 3 , 525 to compensate her for this extra expense . i have a phone call in to the relocation department to find out how much cash iris will be receiving from us under the normal relocation benefits , and will let you know as soon as i hear from them . i would imagine that it is a fairly substantial amount , since she is moving from california and since our relocation benefit is very generous . molly",0.98,0.02,0.98,0.02,0.95,0.01,0.005,0.025,0.005,0.005,0.98,0.02,0.85,0.13,0.015,0.005
"enron in action 11 . 06 . 00 holiday shopping support the rise school of houston while you do your holiday shopping ! participating stores in the center at for rise school ! post oak , 5000 westheimer ( across from the galleria ) , are donating a percentage of their sales on saturday , november 18 to the rise school . no cards to buy , all you need to do is shop ! stores include bbl classic , iloff jewelers , nature ' s way day spa and salon , sport clips all star haircuts and more - look for posters in participating stores . for more information about rise , check out www . riseschool . com . houston symphony enjoy the 4 th annual singles bash with the houston symphony on monday , november 20 from 6 : 00 p . m . - 7 : 00 p . m . singles mixer ! at sambuca jazz cafe ! this pre - concert party offers complimentary hors d ' oeuvres , live jazz quartet blue monks , door prizes and more , and is a prelude to the houston symphony concert at 8 : 00 p . m . featuring the legendary violinist midori ! tickets are $ 35 and include the mixer and concert ticket , and pre - paid reservations are required . don ' t miss out on this fun mixer - call 713 - 238 - 1477 . classical music subscribe to the 2000 - 2001 houston symphony casual classics season , where hosts and artists provide the audience happy hours ! with muscial examples and insights into the world of music before each spectacular performance . enjoy pre - concert happy hours featuring the blue monks jazz quartet as well as select opportunities to mingle backstage with guest artists if you purchase the ticket package . to find out more about program dates and highlights , visit www . houstonsymphony . org or call 713 - 224 - 7575 to subscribe . nutcracker come shop and support the talented houston ballet ! the houston ballet guild ' s 20 th annual nutcracker market will market be held at the astrohall novemeber 9 - 12 . merchants from around the country will showcase row after row of gifts for your early holiday shopping , so beat the crowd and join in on the early bird power shopping on saturday , november 11 from 8 : 00 a . m . to 10 : 00 a . m . tickets are $ 25 dollars each and parking is complimentary . for ticket information call 713 - 535 - 3231 or email nutcrackermarket @ houstonballet . org . chinese paintings are you an art lover ? come to the continental center i gallery ( continental building , 1600 smith , 2 nd floor ) and enjoy show chengyi li , an artist from china , and his selection of personal works of chinese art . the exhibit will run from october 30 to december 1 . enron employees receive a 10 % discount on the artist ' s works . for more information , contact maggie li at ext . 56011 or click here for a preview ! flood relief in massive floods in recent weeks have devastated much of the mekong delta in vietnam , and as much help as possible vietnam is needed to help the millions of victims driven out by the natural disaster . thousands of people have died and the main food sour",0.96,0.04,0.98,0.02,0.08,0.9,0.005,0.005,0.005,0.005,0.98,0.02,0.35,0.6,0.04,0.01
"URL: http://www.newsisfree.com/click/-3,8251864,1440/
Date: Not suppliedA hardy microbe that can withstand huge doses of radiation is most likely to 
have evolved this ability on the Red Planet, argue scientists",0.96,0.04,0.97,0.03,0.08,0.85,0.02,0.01,0.03,0.01,0.97,0.03,0.95,0.04,0.007,0.003
"hpl noms . for jan . 17 , 2001 ( see attached file : hplnol 17 . xls ) - hplnol 17 . xls",0.98,0.02,0.97,0.03,0.93,0.01,0.01,0.01,0.03,0.01,0.98,0.02,0.9,0.08,0.015,0.005
"books on latin linguistics john benjamins publishing would like to call your attention to the following titles in the field of latin linguistics : on latin linguistic and literary studies in honour of harm pinkster rodie risselada , jan r . de jong , a . machtelt bolkestein ( eds . ) 1996 xii , 202 pp . jc gieben , publisher us / canada only : cloth : 90 5063 137 1 price : $ 54 . 00 for further information via e-mail : service @ benjamins . com contents : bakkum , g . : capenate esu cil i2 . 476 , 6 = xi . 6707 , 6 , cil i2 . 2496 , 9 bolkestein , m . : free but not arbitrary : ' emotive ' word order in latin ? garcia - hernandez , b . : modificacion prefijal y regimen sintactico . el testimonio de arusiano mesio hengst , d . den : hidden polemics . ammianus ' digression on egypt ( res gestae 21 . 15-16 ) herman , j . : remarques sur l ' histoire du futur latin - et sur la prehistoire du futur roman kroon , c . & p . rose : atrociter corruptus ? the use of ' narrative ' tenses in ammianus marcellinus ' res gestae lavency , m . : rex qui fuit - rex qui esset - rex cum esset risselada r . : and now for something completely different ? temporal discourse markers : latin ' nunc ' and english ' now ' rosen , h . : ' eam vitam vivere quae est sola vita nominanda ' . reflections on cognate complements smolenaars , h . : ' on went the steed , on went the driver ' . an intertextual analysis of valerius flaccus ' argonautica ' 6 . 256-264 , statius ' thebias ' 7 . 632-639 and silius ' punica ' 7 . 667-679 . touratier , c . : les temps dans un recit ( virgile , ' ecloga ' 7 . 1-20 ) wisse , j . : the presence of zeno . the date of philodemus ' ' on rhetoric and the use of the ' citative ' and ' reproducing ' present in latin and greek . - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - bernadette martinez - keck tel : ( 215 ) 836-1200 publicity / marketing fax : ( 215 ) 836-1204 john benjamins north america e-mail : bernie @ benjamins . com po box 27519 philadelphia pa 19118-0519 check out the john benjamins web site : http : / / www . benjamins . com",0.9,0.1,0.98,0.02,0.03,0.94,0.01,0.01,0.005,0.005,0.98,0.02,0.95,0.04,0.007,0.003
