text,unsolicited__no,unsolicited__yes,kind__personal,kind__transactional,kind__promotional,kind__scam,asks_action__no,asks_action__yes,risk__0,risk__1,risk__2,risk__3,risk__4
Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/meg. CC: 08718720201 HG/Suite342/2lands Row/W1j6HL,0.020000000000000018,0.98,0.005,0.01,0.12,0.865,0.030000000000000027,0.97,0.01,0.05,0.19,0.5,0.25
"Just sent again. Do you scream and moan in bed, princess?",0.94,0.06,0.92,0.01,0.02,0.05,0.72,0.28,0.85,0.06,0.06,0.02,0.01
Was it something u ate?,0.97,0.03,0.95,0.01,0.01,0.03,0.88,0.12,0.94,0.04,0.01,0.005,0.005
No we sell it all so we'll have tons if coins. Then sell our coins to someone thru paypal. Voila! Money back in life pockets:),0.97,0.03,0.95,0.01,0.01,0.03,0.95,0.05,0.9,0.06,0.03,0.01,0.0
"Haha, that was the first person I was gonna ask",0.98,0.02,0.96,0.01,0.01,0.02,0.97,0.03,0.95,0.03,0.01,0.005,0.005
"For your chance to WIN a FREE Bluetooth Headset then simply reply back with ""ADP""",0.020000000000000018,0.98,0.01,0.01,0.3,0.68,0.020000000000000018,0.98,0.010000000000000002,0.12000000000000001,0.35000000000000003,0.42000000000000004,0.10000000000000002
You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p p£3.99,0.020000000000000018,0.98,0.005,0.005,0.04,0.95,0.020000000000000018,0.98,0.005,0.02,0.08,0.5,0.395
Tmr then ü brin lar... Aiya later i come n c lar... Mayb ü neva set properly ü got da help sheet wif ü...,0.98,0.02,0.97,0.01,0.01,0.01,0.75,0.25,0.95,0.04,0.01,0.0,0.0
From tomorrow onwards eve 6 to 3 work.,0.97,0.03,0.95,0.03,0.01,0.01,0.96,0.04,0.95,0.04,0.01,0.0,0.0
Cos darren say ü considering mah so i ask ü...,0.97,0.03,0.96,0.01,0.01,0.02,0.75,0.25,0.94,0.04,0.01,0.005,0.005
Well welp is sort of a semiobscure internet thing,0.97,0.03,0.95,0.01,0.02,0.02,0.97,0.03,0.95,0.03,0.01,0.005,0.005
"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",0.040000000000000036,0.96,0.01,0.02,0.85,0.12,0.030000000000000027,0.97,0.02,0.55,0.35,0.07,0.01
I love your ass! Do you enjoy doggy style? :),0.9,0.1,0.88,0.01,0.03,0.08,0.75,0.25,0.85,0.08,0.05,0.015,0.005
Lol where do u come up with these ideas?,0.98,0.02,0.97,0.01,0.01,0.01,0.92,0.08,0.96,0.03,0.01,0.0,0.0
"Come around  &lt;DECIMAL&gt; pm vikky..i'm otside nw, il come by tht time",0.98,0.02,0.97,0.01,0.01,0.01,0.8,0.2,0.95,0.03,0.01,0.005,0.005
I will come with karnan car. Please wait till 6pm will directly goto doctor.,0.98,0.02,0.97,0.01,0.01,0.01,0.65,0.35,0.9,0.08,0.01,0.005,0.005
"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327",0.020000000000000018,0.98,0.01,0.01,0.03,0.95,0.020000000000000018,0.98,0.01,0.02,0.07,0.5,0.4
No. Its not specialisation. Can work but its slave labor. Will look for it this month sha cos no shakara 4 beggar.,0.98,0.02,0.97,0.01,0.01,0.01,0.97,0.03,0.95,0.03,0.01,0.005,0.005
Check audrey's status right now,0.95,0.05,0.93,0.03,0.01,0.03,0.7,0.3,0.9,0.06,0.03,0.007,0.003
You are a great role model. You are giving so much and i really wish each day for a miracle but God as a reason for everything and i must say i wish i knew why but i dont. I've looked up to you since i was young and i still do. Have a great day.,0.96,0.04,0.95,0.01,0.01,0.03,0.97,0.03,0.95,0.03,0.01,0.007,0.003
Anything is valuable in only 2 situations: First- Before getting it... Second- After loosing it...,0.8,0.2,0.75,0.02,0.15,0.08,0.97,0.03,0.9,0.08,0.02,0.0,0.0
I keep ten rs in my shelf:) buy two egg.,0.98,0.02,0.97,0.01,0.01,0.01,0.44999999999999996,0.55,0.92,0.06,0.01,0.005,0.005
Send to someone else :-),0.95,0.05,0.93,0.02,0.02,0.03,0.7,0.3,0.85,0.1,0.04,0.007,0.003
Not from this campus. Are you in the library?,0.97,0.03,0.96,0.01,0.01,0.02,0.75,0.25,0.93,0.05,0.015,0.004,0.001
HAPPY NEW YEAR MY NO.1 MAN,0.96,0.04,0.95,0.01,0.02,0.02,0.97,0.03,0.95,0.04,0.01,0.0,0.0
Kinda. First one gets in at twelve! Aah. Speak tomo,0.98,0.02,0.97,0.01,0.01,0.01,0.95,0.05,0.96,0.03,0.005,0.003,0.002
I am taking you for italian food. How about a pretty dress with no panties? :),0.97,0.03,0.96,0.01,0.01,0.02,0.88,0.12,0.9,0.07,0.02,0.007,0.003
Hi where you. You in home or calicut?,0.97,0.03,0.96,0.01,0.01,0.02,0.75,0.25,0.93,0.05,0.01,0.005,0.005
"All done, all handed in. Don't know if mega shop in asda counts as celebration but thats what i'm doing!",0.98,0.02,0.97,0.01,0.01,0.01,0.97,0.03,0.96,0.03,0.005,0.003,0.002
Tell them no need to investigate about me anywhere.,0.96,0.04,0.95,0.01,0.01,0.03,0.44999999999999996,0.55,0.9,0.06,0.03,0.007,0.003
Great. Hope you are using your connections from mode men also cos you can never know why old friends can lead you to today,0.97,0.03,0.95,0.01,0.01,0.03,0.92,0.08,0.93,0.05,0.01,0.007,0.003
"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",0.010000000000000009,0.99,0.005,0.005,0.06,0.93,0.010000000000000009,0.99,0.005,0.02,0.1,0.5,0.375
About  &lt;#&gt; bucks. The banks fees are fixed. Better to call the bank and find out.,0.97,0.03,0.95,0.02,0.01,0.02,0.75,0.25,0.9,0.07,0.02,0.007,0.003
You're gonna have to be way more specific than that,0.97,0.03,0.95,0.01,0.01,0.03,0.75,0.25,0.93,0.04,0.02,0.007,0.003
Are you going to wipro interview today?,0.97,0.03,0.96,0.02,0.01,0.01,0.75,0.25,0.93,0.05,0.01,0.005,0.005
I'm leaving my house now.,0.97,0.03,0.96,0.02,0.01,0.01,0.97,0.03,0.95,0.03,0.01,0.005,0.005
Dont think so. It turns off like randomlly within 5min of opening,0.98,0.02,0.96,0.01,0.01,0.02,0.95,0.05,0.95,0.03,0.01,0.005,0.005
"Lemme know when I can swing by and pick up, I'm free basically any time after 1 all this semester",0.97,0.03,0.95,0.02,0.01,0.02,0.4,0.6,0.9,0.07,0.02,0.007,0.003
Get ur 1st RINGTONE FREE NOW! Reply to this msg with TONE. Gr8 TOP 20 tones to your phone every week just £1.50 per wk 2 opt out send STOP 08452810071 16,0.030000000000000027,0.97,0.01,0.01,0.72,0.26,0.020000000000000018,0.98,0.01,0.3,0.45,0.2,0.04
In e msg jus now. U said thanks for gift.,0.97,0.03,0.95,0.01,0.01,0.03,0.95,0.05,0.94,0.04,0.01,0.007,0.003
Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,0.94,0.06,0.01,0.95,0.02,0.02,0.97,0.03,0.85,0.12,0.02,0.007,0.003
Wanna get laid 2nite? Want real Dogging locations sent direct to ur mobile? Join the UK's largest Dogging Network. Txt PARK to 69696 now! Nyt. ec2a. 3lp £1.50/msg,0.010000000000000009,0.99,0.005,0.005,0.62,0.37,0.020000000000000018,0.98,0.01,0.15,0.5,0.28,0.06
"Its ok, if anybody asks abt me, u tel them..:-P",0.97,0.03,0.96,0.01,0.01,0.02,0.88,0.12,0.95,0.03,0.01,0.005,0.005
India have to take lead:),0.97,0.03,0.96,0.01,0.01,0.02,0.97,0.03,0.96,0.03,0.01,0.0,0.0
"Yeah why not, is the gang all ready",0.97,0.03,0.96,0.01,0.01,0.02,0.75,0.25,0.94,0.04,0.01,0.005,0.005
Your dad is back in ph?,0.97,0.03,0.95,0.01,0.01,0.03,0.8,0.2,0.93,0.04,0.02,0.007,0.003
Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,0.97,0.03,0.95,0.02,0.01,0.02,0.75,0.25,0.9,0.07,0.02,0.007,0.003
Thank god they are in bed!,0.97,0.03,0.96,0.01,0.01,0.02,0.97,0.03,0.95,0.03,0.01,0.005,0.005
LMAO where's your fish memory when I need it?,0.97,0.03,0.96,0.01,0.01,0.02,0.95,0.05,0.95,0.03,0.01,0.005,0.005
You stayin out of trouble stranger!!saw Dave the other day hes sorted now!still with me bloke when u gona get a girl MR!ur mum still Thinks we will get 2GETHA!,0.98,0.02,0.97,0.01,0.01,0.01,0.92,0.08,0.95,0.03,0.01,0.005,0.005
No. To be nosy I guess. Idk am I over reacting if I'm freaked?,0.97,0.03,0.96,0.01,0.01,0.02,0.88,0.12,0.94,0.04,0.01,0.005,0.005
Just seeing your missed call my dear brother. Do have a gr8 day.,0.97,0.03,0.96,0.01,0.01,0.02,0.95,0.05,0.95,0.03,0.01,0.005,0.005
K.i did't see you.:)k:)where are you now?,0.97,0.03,0.96,0.01,0.01,0.02,0.5,0.5,0.93,0.04,0.02,0.007,0.003
"Happy new year to u and ur family...may this new year bring happiness , stability and tranquility to ur vibrant colourful life:):)",0.95,0.05,0.94,0.01,0.03,0.02,0.97,0.03,0.95,0.04,0.01,0.0,0.0
Then why you came to hostel.,0.97,0.03,0.96,0.01,0.01,0.02,0.92,0.08,0.95,0.03,0.01,0.005,0.005
"U need my presnts always bcz U cant mis love. ""jeevithathile irulinae neekunna prakasamanu sneham"" prakasam ennal prabha 'That mns prabha is'LOVE' Got it. Dont mis me....",0.96,0.04,0.95,0.01,0.02,0.02,0.95,0.05,0.93,0.05,0.01,0.005,0.005
A link to your picture has been sent. You can also use http://alto18.co.uk/wave/wave.asp?o=44345,0.19999999999999996,0.8,0.04,0.22,0.19,0.55,0.15000000000000002,0.85,0.03,0.12,0.5,0.3,0.05
cool. We will have fun practicing making babies!,0.97,0.03,0.96,0.01,0.01,0.02,0.96,0.04,0.95,0.03,0.01,0.005,0.005
There are some nice pubs near here or there is Frankie n Bennys near the warner cinema?,0.98,0.02,0.97,0.01,0.01,0.01,0.88,0.12,0.95,0.04,0.01,0.0,0.0
I'm going 4 lunch now wif my family then aft dat i go str 2 orchard lor.,0.98,0.02,0.97,0.01,0.01,0.01,0.97,0.03,0.96,0.03,0.005,0.003,0.002
No current and food here. I am alone also,0.97,0.03,0.95,0.01,0.01,0.03,0.92,0.08,0.9,0.06,0.02,0.015,0.005
Host-based IDPS for linux systems.,0.75,0.25,0.7,0.05,0.2,0.05,0.92,0.08,0.8,0.15,0.04,0.007,0.003
I'm gonna rip out my uterus.,0.97,0.03,0.95,0.01,0.01,0.03,0.97,0.03,0.94,0.04,0.01,0.005,0.005
It so happens that there r 2waxsto do wat you want. She can come and ill get her medical insurance. And she'll be able to deliver and have basic care. I'm currently shopping for the right medical insurance for her. So just give me til friday morning. Thats when i.ll see the major person that can guide me to the right insurance.,0.98,0.02,0.97,0.01,0.01,0.01,0.88,0.12,0.93,0.05,0.01,0.005,0.005
"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+",0.010000000000000009,0.99,0.005,0.005,0.06,0.93,0.020000000000000018,0.98,0.005,0.02,0.1,0.5,0.375
Just sleeping..and surfing,0.97,0.03,0.95,0.01,0.02,0.02,0.97,0.03,0.95,0.03,0.01,0.005,0.005
Already am squatting is the new way of walking,0.97,0.03,0.96,0.01,0.01,0.02,0.97,0.03,0.96,0.03,0.01,0.0,0.0
This weekend is fine (an excuse not to do too much decorating),0.98,0.02,0.97,0.01,0.01,0.01,0.95,0.05,0.96,0.03,0.01,0.0,0.0
Actually I decided I was too hungry so I haven't left yet :V,0.98,0.02,0.97,0.01,0.01,0.01,0.97,0.03,0.96,0.03,0.005,0.003,0.002
Hey... are you going to quit soon? Xuhui and i working till end of the month,0.98,0.02,0.97,0.01,0.01,0.01,0.65,0.35,0.95,0.03,0.01,0.005,0.005
Love it! Daddy will make you scream with pleasure! I am going to slap your ass with my dick!,0.92,0.08,0.9,0.01,0.04,0.05,0.95,0.05,0.88,0.07,0.03,0.015,0.005
"WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit www.win-82050.co.uk",0.020000000000000018,0.98,0.01,0.01,0.12,0.86,0.15000000000000002,0.85,0.02,0.08,0.25,0.5,0.15
HELLO PEACH! MY CAKE TASTS LUSH!,0.97,0.03,0.95,0.01,0.02,0.02,0.97,0.03,0.95,0.03,0.01,0.005,0.005
Usually the person is unconscious that's in children but in adults they may just behave abnormally. I.ll call you now,0.98,0.02,0.97,0.01,0.01,0.01,0.9,0.1,0.94,0.04,0.01,0.005,0.005
Dont know supports ass and srt i thnk. I think ps3 can play through usb too,0.98,0.02,0.97,0.01,0.01,0.01,0.97,0.03,0.96,0.03,0.01,0.0,0.0
Send his number and give reply tomorrow morning for why you said that to him like that ok,0.97,0.03,0.95,0.01,0.01,0.03,0.15000000000000002,0.85,0.85,0.09,0.04,0.015,0.005
Reason is if the team budget is available at last they buy the unsold players for at base rate..,0.96,0.04,0.95,0.01,0.02,0.02,0.96,0.04,0.94,0.04,0.01,0.005,0.005
Sorry for the delay. Yes masters,0.97,0.03,0.95,0.02,0.01,0.02,0.95,0.05,0.94,0.04,0.01,0.005,0.005
Nooooooo I'm gonna be bored to death all day. Cable and internet outage.,0.98,0.02,0.97,0.01,0.01,0.01,0.97,0.03,0.96,0.03,0.01,0.0,0.0
"URGENT! Your Mobile No 07808726822 was awarded a £2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9758 BOX95QU",0.010000000000000009,0.99,0.005,0.005,0.02,0.97,0.010000000000000009,0.99,0.005,0.015,0.05,0.5,0.43
Double your mins & txts on Orange or 1/2 price linerental - Motorola and SonyEricsson with B/Tooth FREE-Nokia FREE Call MobileUpd8 on 08000839402 or2optout/HV9D,0.020000000000000018,0.98,0.01,0.01,0.8,0.18,0.040000000000000036,0.96,0.02,0.45,0.4,0.11,0.02
"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",0.96,0.04,0.95,0.01,0.02,0.02,0.97,0.03,0.95,0.04,0.01,0.0,0.0
"Abeg, make profit. But its a start. Are you using it to get sponsors for the next event?",0.97,0.03,0.95,0.01,0.02,0.02,0.8,0.2,0.93,0.05,0.01,0.005,0.005
If you still havent collected the dough pls let me know so i can go to the place i sent it to get the control number,0.97,0.03,0.95,0.01,0.01,0.03,0.15000000000000002,0.85,0.85,0.09,0.03,0.02,0.01
Hard LIVE 121 chat just 60p/min. Choose your girl and connect LIVE. Call 09094646899 now! Cheap Chat UK's biggest live service. VU BCM1896WC1N3XX,0.020000000000000018,0.98,0.01,0.01,0.75,0.23,0.030000000000000027,0.97,0.01,0.15,0.55,0.25,0.04
What time is ur flight tmr?,0.97,0.03,0.95,0.02,0.01,0.02,0.4,0.6,0.93,0.04,0.02,0.007,0.003
Ok cool. See ya then.,0.98,0.02,0.97,0.01,0.01,0.01,0.97,0.03,0.96,0.03,0.005,0.003,0.002
The Xmas story is peace.. The Xmas msg is love.. The Xmas miracle is jesus.. Hav a blessed month ahead &amp; wish U Merry Xmas...,0.85,0.15,0.8500000000000001,0.010000000000000002,0.060000000000000005,0.08000000000000002,0.97,0.03,0.9,0.08,0.015,0.004,0.001
Nvm it's ok...,0.97,0.03,0.95,0.02,0.01,0.02,0.97,0.03,0.95,0.03,0.01,0.005,0.005
I though we shd go out n have some fun so bar in town or something – sound ok?,0.98,0.02,0.97,0.01,0.01,0.01,0.4,0.6,0.95,0.04,0.01,0.0,0.0
Thanks love. But am i doing torch or bold.,0.98,0.02,0.96,0.01,0.01,0.02,0.7,0.3,0.95,0.03,0.01,0.005,0.005
Dai i downloaded but there is only exe file which i can only run that exe after installing.,0.97,0.03,0.95,0.02,0.01,0.02,0.88,0.12,0.9,0.06,0.03,0.007,0.003
Hey come online! Use msn... We are all there,0.97,0.03,0.96,0.01,0.01,0.02,0.25,0.75,0.85,0.1,0.04,0.007,0.003
We will meet soon princess! Ttyl!,0.97,0.03,0.96,0.01,0.01,0.02,0.95,0.05,0.94,0.04,0.01,0.007,0.003
PRIVATE! Your 2003 Account Statement for 07753741225 shows 800 un-redeemed S. I. M. points. Call 08715203677 Identifier Code: 42478 Expires 24/10/04,0.020000000000000018,0.98,0.005,0.01,0.035,0.95,0.020000000000000018,0.98,0.005,0.02,0.1,0.5,0.375
At 7 we will go ok na.,0.97,0.03,0.96,0.02,0.01,0.01,0.88,0.12,0.95,0.04,0.01,0.0,0.0
Be sure to check your yahoo email. We sent photos yesterday,0.9,0.1,0.85,0.05,0.03,0.07,0.25,0.75,0.55,0.25,0.15,0.04,0.01
It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.,0.98,0.02,0.97,0.01,0.01,0.01,0.97,0.03,0.96,0.03,0.01,0.0,0.0
"""Hey j! r u feeling any better, hopeSo hunny. i amnow feelin ill & ithink i may have tonsolitusaswell! damn iam layin in bedreal bored. lotsof luv me xxxx""",0.98,0.02,0.97,0.01,0.01,0.01,0.92,0.08,0.95,0.03,0.01,0.005,0.005
Monthly password for wap. mobsi.com is 391784. Use your wap phone not PC.,0.30000000000000004,0.7,0.04,0.33,0.45,0.18,0.38,0.62,0.08,0.3,0.45,0.14,0.03
"The affidavit says  &lt;#&gt;  E Twiggs St, division g, courtroom  &lt;#&gt; , &lt;TIME&gt;  AM. I'll double check and text you again tomorrow",0.97,0.03,0.95,0.03,0.01,0.01,0.95,0.05,0.93,0.05,0.01,0.005,0.005
Don no da:)whats you plan?,0.97,0.03,0.95,0.01,0.01,0.03,0.75,0.25,0.93,0.05,0.015,0.004,0.001
Oh... Lk tt den we take e one tt ends at cine lor... Dun wan yogasana oso can...,0.98,0.02,0.97,0.01,0.01,0.01,0.95,0.05,0.96,0.03,0.005,0.003,0.002
Oh that was a forwarded message. I thought you send that to me,0.97,0.03,0.96,0.01,0.01,0.02,0.95,0.05,0.94,0.04,0.01,0.005,0.005
Oh k :)why you got job then whats up?,0.98,0.02,0.97,0.01,0.01,0.01,0.88,0.12,0.95,0.03,0.01,0.005,0.005
"Ya, told..she was asking wats matter?",0.98,0.02,0.96,0.01,0.01,0.02,0.88,0.12,0.95,0.03,0.01,0.005,0.005
Try to do something dear. You read something for exams,0.97,0.03,0.96,0.01,0.01,0.02,0.88,0.12,0.94,0.04,0.01,0.005,0.005
Sounds like you have many talents! would you like to go on a dinner date next week?,0.96,0.04,0.95,0.01,0.01,0.03,0.7,0.3,0.9,0.06,0.02,0.015,0.005
"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff.",0.97,0.03,0.95,0.02,0.01,0.02,0.95,0.05,0.93,0.05,0.01,0.005,0.005
I wud never mind if u dont miss me or if u dont need me.. But u wil really hurt me wen u need me &amp; u dont tell me......... Take care:-),0.96,0.04,0.95,0.01,0.02,0.02,0.95,0.05,0.94,0.04,0.01,0.005,0.005
I wil be there with in  &lt;#&gt;  minutes. Got any space,0.97,0.03,0.95,0.02,0.01,0.02,0.7,0.3,0.9,0.07,0.02,0.007,0.003
Not planned yet :)going to join company on jan 5 only.don know what will happen after that.,0.98,0.02,0.97,0.01,0.01,0.01,0.97,0.03,0.96,0.03,0.01,0.0,0.0
Sorry i missed your call. Can you please call back.,0.97,0.03,0.95,0.01,0.01,0.03,0.050000000000000044,0.95,0.85,0.08,0.05,0.015,0.005
"K, my roommate also wants a dubsack and another friend may also want some so plan on bringing extra, I'll tell you when they know for sure",0.97,0.03,0.95,0.01,0.01,0.03,0.4,0.6,0.7,0.2,0.07,0.02,0.01
What happened to our yo date?,0.97,0.03,0.95,0.01,0.01,0.03,0.75,0.25,0.9,0.06,0.03,0.007,0.003
"Just checked out, heading out to drop off my stuff now",0.98,0.02,0.97,0.02,0.005,0.005,0.97,0.03,0.96,0.03,0.007,0.002,0.001
Anything lor. Juz both of us lor.,0.98,0.02,0.97,0.01,0.01,0.01,0.95,0.05,0.95,0.03,0.01,0.005,0.005
No need for the drug anymore.,0.94,0.06,0.92,0.02,0.02,0.04,0.95,0.05,0.9,0.06,0.03,0.007,0.003
Hey next sun 1030 there's a basic yoga course... at bugis... We can go for that... Pilates intro next sat.... Tell me what time you r free,0.98,0.02,0.97,0.01,0.015,0.005,0.25,0.75,0.95,0.04,0.01,0.0,0.0
"accordingly. I repeat, just text the word ok on your mobile phone and send",0.35,0.65,0.25,0.05,0.3,0.4,0.09999999999999998,0.9,0.1,0.2,0.4,0.25,0.05
As a registered optin subscriber ur draw 4 £100 gift voucher will be entered on receipt of a correct ans to 80062 Whats No1 in the BBC charts,0.030000000000000027,0.97,0.01,0.01,0.15,0.83,0.050000000000000044,0.95,0.01,0.07,0.27,0.5,0.15
Anyway seriously hit me up when you're back because otherwise I have to light up with armand and he always has shit and/or is vomiting,0.97,0.03,0.96,0.01,0.01,0.02,0.4,0.6,0.9,0.07,0.02,0.007,0.003
I re-met alex nichols from middle school and it turns out he's dealing!,0.97,0.03,0.96,0.01,0.01,0.02,0.96,0.04,0.93,0.04,0.02,0.007,0.003
Ok... Let u noe when i leave my house.,0.98,0.02,0.97,0.01,0.01,0.01,0.95,0.05,0.96,0.03,0.01,0.0,0.0
Umma my life and vava umma love you lot dear,0.97,0.03,0.96,0.01,0.01,0.02,0.97,0.03,0.95,0.03,0.01,0.005,0.005
You getting back any time soon?,0.97,0.03,0.95,0.01,0.01,0.03,0.65,0.35,0.9,0.06,0.03,0.01,0.0
FreeMsg: Fancy a flirt? Reply DATE now & join the UKs fastest growing mobile dating service. Msgs rcvd just 25p to optout txt stop to 83021. Reply DATE now!,0.020000000000000018,0.98,0.01,0.01,0.72,0.26,0.020000000000000018,0.98,0.01,0.15,0.5,0.29,0.05
Wanna have a laugh? Try CHIT-CHAT on your mobile now! Logon by txting the word: CHAT and send it to No: 8883 CM PO Box 4217 London W1A 6ZF 16+ 118p/msg rcvd,0.030000000000000027,0.97,0.01,0.01,0.72,0.26,0.030000000000000027,0.97,0.01,0.3,0.5,0.17,0.02
"January Male Sale! Hot Gay chat now cheaper, call 08709222922. National rate from 1.5p/min cheap to 7.8p/min peak! To stop texts call 08712460324 (10p/min)",0.020000000000000018,0.98,0.01,0.01,0.75,0.23,0.040000000000000036,0.96,0.01,0.3,0.5,0.16,0.03
Hey anyway i have to :-),0.96,0.04,0.95,0.01,0.01,0.03,0.95,0.05,0.95,0.03,0.01,0.005,0.005
Bognor it is! Should be splendid at this time of year.,0.98,0.02,0.96,0.01,0.02,0.01,0.97,0.03,0.95,0.04,0.01,0.0,0.0
Hasn't that been the pattern recently crap weekends?,0.98,0.02,0.97,0.01,0.01,0.01,0.95,0.05,0.96,0.03,0.01,0.0,0.0
Hey company elama po mudyadhu.,0.96,0.04,0.95,0.01,0.02,0.02,0.92,0.08,0.93,0.05,0.01,0.005,0.005
"Sorry sir, i will call you tomorrow.  senthil.hsbc",0.96,0.04,0.92,0.05,0.01,0.02,0.96,0.04,0.93,0.05,0.015,0.004,0.001
"You have been specially selected to receive a ""3000 award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo",0.020000000000000018,0.98,0.005,0.005,0.08,0.91,0.020000000000000018,0.98,0.005,0.03,0.12,0.55,0.295
I have no idea where you are,0.97,0.03,0.95,0.02,0.01,0.02,0.92,0.08,0.93,0.04,0.02,0.007,0.003
"that would be good … I'll phone you tomo lunchtime, shall I, to organise something?",0.98,0.02,0.97,0.01,0.01,0.01,0.75,0.25,0.95,0.04,0.01,0.0,0.0
Aight what time you want me to come up?,0.97,0.03,0.96,0.01,0.01,0.02,0.4,0.6,0.95,0.03,0.01,0.005,0.005
Great. Have a safe trip. Dont panic surrender all.,0.97,0.03,0.96,0.01,0.01,0.02,0.95,0.05,0.95,0.03,0.01,0.005,0.005
Loosu go to hospital. De dont let it careless.,0.97,0.03,0.95,0.02,0.01,0.02,0.65,0.35,0.9,0.07,0.02,0.007,0.003
And how's your husband.,0.97,0.03,0.96,0.01,0.01,0.02,0.88,0.12,0.93,0.04,0.02,0.007,0.003
"It,,s a taxt massage....tie-pos argh ok! Lool!",0.97,0.03,0.95,0.01,0.01,0.03,0.97,0.03,0.95,0.03,0.01,0.005,0.005
Dude got a haircut. Now its breezy up there,0.97,0.03,0.96,0.01,0.01,0.02,0.97,0.03,0.96,0.02,0.01,0.005,0.005
I doubt you could handle 5 times per night in any case...,0.95,0.05,0.93,0.01,0.02,0.04,0.95,0.05,0.9,0.06,0.03,0.007,0.003
No i am not having not any movies in my laptop,0.97,0.03,0.95,0.02,0.01,0.02,0.95,0.05,0.94,0.04,0.01,0.005,0.005
"We know TAJ MAHAL as symbol of love. But the other lesser known facts 1. Mumtaz was Shahjahan's 4th wife, out of his 7 wifes. 2. Shahjahan killed Mumtaz's husband to marry her. 3. Mumtaz died in her  &lt;#&gt; th delivery. 4. He then married Mumtaz's sister. Question arises where the Hell is the LOVE?:-| -The Great Hari-",0.85,0.15,0.85,0.02,0.08,0.05,0.97,0.03,0.9,0.08,0.02,0.0,0.0
Hey whats up? U sleeping all morning?,0.97,0.03,0.96,0.01,0.01,0.02,0.88,0.12,0.95,0.03,0.01,0.007,0.003
Thank you princess! You are so sexy...,0.96,0.04,0.95,0.01,0.02,0.02,0.97,0.03,0.94,0.04,0.01,0.007,0.003
At WHAT TIME should i come tomorrow,0.97,0.03,0.95,0.02,0.01,0.02,0.25,0.75,0.9,0.06,0.03,0.007,0.003
"Hey... Thk we juz go accordin to wat we discussed yest lor, except no kb on sun... Cos there's nt much lesson to go if we attend kb on sat...",0.98,0.02,0.97,0.01,0.01,0.01,0.92,0.08,0.95,0.04,0.01,0.0,0.0
Hurry home. Soup is DONE!,0.98,0.02,0.97,0.01,0.01,0.01,0.88,0.12,0.95,0.04,0.01,0.0,0.0
Can you call me plz. Your number shows out of coveragd area. I have urgnt call in vasai &amp; have to reach before 4'o clock so call me plz,0.97,0.03,0.95,0.01,0.01,0.03,0.09999999999999998,0.9,0.75,0.15,0.07,0.02,0.01
I've reached home n i bathe liao... U can call me now...,0.98,0.02,0.97,0.01,0.01,0.01,0.4,0.6,0.95,0.03,0.01,0.005,0.005
If i start sending blackberry torch to nigeria will you find buyer for me?like 4a month. And tell dad not to buy bb from anyone oh.,0.97,0.03,0.95,0.01,0.02,0.02,0.4,0.6,0.8,0.15,0.04,0.01,0.0
"Yeah, in fact he just asked if we needed anything like an hour ago. When and how much?",0.98,0.02,0.97,0.01,0.01,0.01,0.6,0.4,0.93,0.05,0.01,0.005,0.005
"""Aww you must be nearly dead!Well Jez isComing over toDo some workAnd that whillTake forever!""",0.97,0.03,0.96,0.01,0.01,0.02,0.95,0.05,0.95,0.03,0.01,0.005,0.005
Fine am simply sitting.,0.98,0.02,0.96,0.01,0.01,0.02,0.97,0.03,0.95,0.03,0.01,0.005,0.005
"Ok, be careful ! Don't text and drive !",0.98,0.02,0.97,0.01,0.01,0.01,0.95,0.05,0.96,0.03,0.005,0.003,0.002
